 INFO  Accepting connections at http://localhost:3000
 HTTP  4/24/2026 3:43:00 PM ::1 GET /
 HTTP  4/24/2026 3:43:00 PM ::1 Returned 200 in 22 ms
 HTTP  4/24/2026 3:43:00 PM ::1 GET /style.css
 HTTP  4/24/2026 3:43:00 PM ::1 GET /shared.js
 HTTP  4/24/2026 3:43:00 PM ::1 GET /script.js
 HTTP  4/24/2026 3:43:00 PM ::1 Returned 200 in 9 ms
 HTTP  4/24/2026 3:43:00 PM ::1 Returned 200 in 12 ms
 HTTP  4/24/2026 3:43:00 PM ::1 Returned 200 in 12 ms
 HTTP  4/24/2026 3:43:00 PM ::1 GET /worker.js
 HTTP  4/24/2026 3:43:00 PM ::1 Returned 200 in 7 ms
 HTTP  4/24/2026 3:43:00 PM ::1 GET /shared.js
 HTTP  4/24/2026 3:43:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/24/2026 3:43:28 PM ::1 GET /
 HTTP  4/24/2026 3:43:28 PM ::1 Returned 200 in 5 ms
 HTTP  4/24/2026 3:43:28 PM ::1 GET /style.css
 HTTP  4/24/2026 3:43:28 PM ::1 Returned 200 in 2 ms
 HTTP  4/24/2026 3:43:28 PM ::1 GET /shared.js
 HTTP  4/24/2026 3:43:28 PM ::1 GET /script.js
 HTTP  4/24/2026 3:43:28 PM ::1 Returned 200 in 3 ms
 HTTP  4/24/2026 3:43:28 PM ::1 Returned 200 in 3 ms
 HTTP  4/24/2026 3:43:28 PM ::1 GET /worker.js
 HTTP  4/24/2026 3:43:28 PM ::1 Returned 200 in 4 ms
 HTTP  4/24/2026 3:43:28 PM ::1 GET /shared.js
 HTTP  4/24/2026 3:43:28 PM ::1 Returned 304 in 4 ms
